Ewe/V	<I>/mA	time/s
-1.0955038E+000	-1.282170165730380E-003	8.764819789961621E+001
-1.1125302E+000	-1.126267640390779E-003	8.781729789534438E+001
-1.1292500E+000	-1.185728495202222E-003	8.798609789108014E+001
-1.1460650E+000	-1.350088254176729E-003	8.815459788682347E+001
-1.1630063E+000	-1.102561372712971E-003	8.832269788257690E+001
-1.1797764E+000	-1.290151812524357E-003	8.849109787832276E+001
-1.1966788E+000	-1.292184561975570E-003	8.865999787405599E+001
-1.2134550E+000	-1.233319493772289E-003	8.882839786980185E+001
-1.2302727E+000	-1.309229395527045E-003	8.899649786555528E+001
-1.2470645E+000	-1.317632254406995E-003	8.916479786130367E+001
-1.2640163E+000	-1.309603465021905E-003	8.933329785704700E+001
-1.2808818E+000	-1.233486033273404E-003	8.950239785277518E+001
-1.2976096E+000	-1.210856955081966E-003	8.967099784851598E+001
-1.3145903E+000	-1.326317941950709E-003	8.983959784425679E+001
-1.3314846E+000	-1.325130950723676E-003	9.000869783998496E+001
-1.3482602E+000	-1.265301497166871E-003	9.017749783572071E+001
-1.3652334E+000	-1.392635848535859E-003	9.034639783145394E+001
-1.3820940E+000	-1.384208097968617E-003	9.051539782718464E+001
-1.3988285E+000	-1.400117418588162E-003	9.068329782294313E+001
-1.4158128E+000	-1.366110189765998E-003	9.085139781869657E+001
-1.4324983E+000	-1.381204559052005E-003	9.102029781442980E+001
-1.4494828E+000	-1.346647955268895E-003	9.118949781015544E+001
-1.4663657E+000	-1.384216790940990E-003	9.135879780587857E+001
-1.4832782E+000	-1.467323058468480E-003	9.152799780160422E+001
-1.5002831E+000	-1.445523332130190E-003	9.169729779732734E+001
-1.5169952E+000	-1.456753133943091E-003	9.186599779306562E+001
-1.5339103E+000	-1.605598493213884E-003	9.203469778880390E+001
-1.5508312E+000	-1.881868642553179E-003	9.220419778452197E+001
-1.5675638E+000	-2.015560388047096E-003	9.237289778026025E+001
-1.5845296E+000	-2.183525287557345E-003	9.254099777601368E+001
-1.6012790E+000	-2.757920228418483E-003	9.270959777175449E+001
-1.6181598E+000	-3.171342846216167E-003	9.287859776748519E+001
-1.6350918E+000	-3.876523897905826E-003	9.304789776320831E+001
-1.6518737E+000	-4.560532206459536E-003	9.321709775893396E+001
-1.6688681E+000	-5.335173893011053E-003	9.338619775466213E+001
-1.6857455E+000	-6.133928637965635E-003	9.355509775039536E+001
-1.7026438E+000	-6.565112758507158E-003	9.372379774613364E+001
-1.7195697E+000	-6.791064760907156E-003	9.389279774186434E+001
-1.7364702E+000	-6.537709073297010E-003	9.406119773761020E+001
-1.7532890E+000	-6.390194727399726E-003	9.422929773336364E+001
-1.7702091E+000	-6.147973517757074E-003	9.439769772910950E+001
-1.7871097E+000	-5.683736487245232E-003	9.456689772483514E+001
-1.8039176E+000	-5.259737690206254E-003	9.473569772057090E+001
-1.8207396E+000	-5.251948333731778E-003	9.490449771630665E+001
-1.8375720E+000	-4.904690206053043E-003	9.507309771204746E+001
-1.8544436E+000	-4.726859646349002E-003	9.524109770780342E+001
-1.8712256E+000	-4.736528569972642E-003	9.540949770354928E+001
-1.8879676E+000	-4.614462513539697E-003	9.557779769929766E+001
-1.9047327E+000	-4.623381117487113E-003	9.574579769505362E+001
-1.9217962E+000	-4.340325780895396E-003	9.591459769078938E+001
-1.9386168E+000	-4.397096048302351E-003	9.608409768650745E+001
-1.9554763E+000	-4.268799908514946E-003	9.625319768223562E+001
-1.9724275E+000	-4.188725271977865E-003	9.642209767796885E+001
-1.9892216E+000	-4.179248575082468E-003	9.659109767369955E+001
-2.0059514E+000	-4.091495732140772E-003	9.675889766946057E+001
-2.0228677E+000	-4.062883076489211E-003	9.692659766522411E+001
-2.0395365E+000	-4.076906880839865E-003	9.709479766097502E+001
-2.0563638E+000	-4.066443914037050E-003	9.726229765674361E+001
-2.0731485E+000	-4.015638329051024E-003	9.742999765250715E+001
-2.0899646E+000	-4.130357982619737E-003	9.759879764824291E+001
-2.1069682E+000	-4.025754035759267E-003	9.776819764396350E+001
-2.1237979E+000	-4.023939873578207E-003	9.793729763969168E+001
-2.1405308E+000	-4.101044350624944E-003	9.810559763544006E+001
-2.1574869E+000	-3.919745237160079E-003	9.827399763118592E+001
-2.1742427E+000	-4.130437419158250E-003	9.844269762692420E+001
-2.1910303E+000	-4.105403452972882E-003	9.861079762267764E+001
-2.2080400E+000	-4.068207313315989E-003	9.877889761843107E+001
-2.2246959E+000	-4.328151756835701E-003	9.894709761418198E+001
-2.2360504E+000	-4.326556920171080E-003	9.905969761133747E+001
-2.2387471E+000	-4.403825732879341E-003	9.908739761063771E+001
-2.2384963E+000	-3.986843473588429E-003	9.909079761055182E+001
-2.2432539E+000	-4.295521114707865E-003	9.917689760837675E+001
-2.2312586E+000	-4.055752492397799E-003	9.934579760410998E+001
-2.2144690E+000	-3.989151378748335E-003	9.951449759984826E+001
-2.1976676E+000	-3.926727299252517E-003	9.968309759558906E+001
-2.1809752E+000	-3.604416397423045E-003	9.985179759132734E+001
-2.1640968E+000	-3.586418560533856E-003	1.000200975870757E+002
-2.1472409E+000	-3.427271059419435E-003	1.001887975828140E+002
-2.1304138E+000	-3.239048347180626E-003	1.003579975785397E+002
-2.1134958E+000	-3.331400320455265E-003	1.005268975742729E+002
-2.0967107E+000	-3.325440609515423E-003	1.006951975700213E+002
-2.0797832E+000	-3.258863352315788E-003	1.008636975657646E+002
-2.0630591E+000	-3.152472541582782E-003	1.010320975615105E+002
-2.0461807E+000	-3.105048430486784E-003	1.012006975572513E+002
-2.0293615E+000	-3.088762209905914E-003	1.013694975529870E+002
-2.0125177E+000	-3.046030797497636E-003	1.015372975487480E+002
-1.9957072E+000	-3.007344523788230E-003	1.017054975444989E+002
-1.9788014E+000	-3.080599122488370E-003	1.018739975402423E+002
-1.9622607E+000	-2.885702292989750E-003	1.020418975360008E+002
-1.9451535E+000	-3.037736649490357E-003	1.022098975317567E+002
-1.9285592E+000	-2.925943343775464E-003	1.023782975275026E+002
-1.9117118E+000	-2.768260866494598E-003	1.025464975232535E+002
-1.8947724E+000	-2.852413883920643E-003	1.027147975190019E+002
-1.8779877E+000	-2.775719199779248E-003	1.028837975147326E+002
-1.8611847E+000	-2.694462707352591E-003	1.030528975104608E+002
