cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      9.015203E+00
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.575195E-01  -5.577560E-06   5.701632E-01
 4.573975E-01  -5.577420E-06   5.718016E-01
 4.572754E-01  -5.577560E-06   5.734400E-01
 4.571533E-01  -5.577420E-06   5.750784E-01
 4.570312E-01  -5.577281E-06   5.767168E-01
 4.569092E-01  -5.577420E-06   5.783552E-01
 4.567871E-01  -5.577281E-06   5.799936E-01
 4.566650E-01  -5.577141E-06   5.816320E-01
 4.565430E-01  -5.577281E-06   5.832704E-01
 4.564209E-01  -5.577141E-06   5.849088E-01
 4.562988E-01  -5.577001E-06   5.865472E-01
 4.561768E-01  -5.577141E-06   5.881856E-01
 4.560547E-01  -5.577001E-06   5.898240E-01
 4.559326E-01  -5.576861E-06   5.914624E-01
 4.558105E-01  -5.577001E-06   5.931008E-01
 4.556885E-01  -5.576861E-06   5.947392E-01
 4.555664E-01  -5.576721E-06   5.963776E-01
 4.554443E-01  -5.576861E-06   5.980160E-01
 4.553223E-01  -5.576721E-06   5.996544E-01
 4.552002E-01  -5.576581E-06   6.012928E-01
 4.550781E-01  -5.576721E-06   6.029312E-01
 4.549561E-01  -5.576581E-06   6.045696E-01
 4.548340E-01  -5.576442E-06   6.062080E-01
 4.547119E-01  -5.576581E-06   6.078464E-01
 4.545898E-01  -5.576442E-06   6.094848E-01
 4.544678E-01  -5.576302E-06   6.111232E-01
 4.543457E-01  -5.576442E-06   6.127616E-01
 4.542236E-01  -5.576302E-06   6.144000E-01
 4.541016E-01  -5.576162E-06   6.160384E-01
 4.539795E-01  -5.576302E-06   6.176768E-01
 4.538574E-01  -5.576162E-06   6.193152E-01
 4.537354E-01  -5.576022E-06   6.209536E-01
 4.536133E-01  -5.576162E-06   6.225920E-01
 4.534912E-01  -5.576022E-06   6.242304E-01
 4.533691E-01  -5.575882E-06   6.258688E-01
 4.532471E-01  -5.576022E-06   6.275072E-01
 4.531250E-01  -5.575882E-06   6.291456E-01
 4.530029E-01  -5.575742E-06   6.307840E-01
 4.528809E-01  -5.575882E-06   6.324224E-01
 4.527588E-01  -5.575742E-06   6.340608E-01
 4.526367E-01  -5.575602E-06   6.356992E-01
 4.525146E-01  -5.575742E-06   6.373376E-01
 4.523926E-01  -5.575602E-06   6.389760E-01
 4.522705E-01  -5.575463E-06   6.406144E-01
 4.521484E-01  -5.575602E-06   6.422528E-01
 4.520264E-01  -5.575463E-06   6.438912E-01
 4.519043E-01  -5.575323E-06   6.455296E-01
 4.517822E-01  -5.575463E-06   6.471680E-01
 4.516602E-01  -5.575323E-06   6.488064E-01
 4.515381E-01  -5.575183E-06   6.504448E-01
 4.514160E-01  -5.575323E-06   6.520832E-01
 4.512939E-01  -5.575183E-06   6.537216E-01
 4.511719E-01  -5.575043E-06   6.553600E-01
 4.510498E-01  -5.575183E-06   6.569984E-01
 4.509277E-01  -5.575043E-06   6.586368E-01
 4.508057E-01  -5.574903E-06   6.602752E-01
 4.506836E-01  -5.575043E-06   6.619136E-01
 4.505615E-01  -5.574903E-06   6.635520E-01
 4.504395E-01  -5.574763E-06   6.651904E-01
 4.503174E-01  -5.574903E-06   6.668288E-01
 4.501953E-01  -5.574763E-06   6.684672E-01
 4.500732E-01  -5.574624E-06   6.701056E-01
 4.499512E-01  -5.574763E-06   6.717440E-01
 4.498291E-01  -5.574624E-06   6.733824E-01
 4.497070E-01  -5.574484E-06   6.750208E-01
 4.495850E-01  -5.574624E-06   6.766592E-01
