cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      2.201647E+01
Amp1(mV):       8.000000E+01
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.533505E-01  -1.765270E-04   1.622016E-01
 4.492897E-01  -1.724694E-04   1.626112E-01
 4.453527E-01  -1.678812E-04   1.630208E-01
 4.415521E-01  -1.627803E-04   1.634304E-01
 4.379001E-01  -1.571854E-04   1.638400E-01
 4.344082E-01  -1.511172E-04   1.642496E-01
 4.310875E-01  -1.445970E-04   1.646592E-01
 4.279487E-01  -1.376473E-04   1.650688E-01
 4.250016E-01  -1.302915E-04   1.654784E-01
 4.222557E-01  -1.225543E-04   1.658880E-01
 4.197196E-01  -1.144606E-04   1.662976E-01
 4.174015E-01  -1.060363E-04   1.667072E-01
 4.153086E-01  -9.730830E-05   1.671168E-01
 4.134475E-01  -8.830352E-05   1.675264E-01
 4.118242E-01  -7.904998E-05   1.679360E-01
 4.104438E-01  -6.957566E-05   1.683456E-01
 4.093106E-01  -5.990856E-05   1.687552E-01
 4.084280E-01  -5.007772E-05   1.691648E-01
 4.077990E-01  -4.011220E-05   1.695744E-01
 4.074253E-01  -3.004158E-05   1.699840E-01
 4.073081E-01  -1.989490E-05   1.703936E-01
 4.074476E-01  -9.701211E-06   1.708032E-01
 4.078434E-01   5.093782E-07   1.712128E-01
 4.084940E-01   1.070782E-05   1.716224E-01
 4.093973E-01   2.086506E-05   1.720320E-01
 4.105503E-01   3.095206E-05   1.724416E-01
